scenario_key,age,premium_term_number,premium_term_label,income_start_year,income_start_age,valid,blockers,notes,estimation_method,source_pdf_count,source_ages,source_labels,annualised_premium_basis,min_annualised_premium,max_annualised_premium,total_planned_premium,target_monthly_income,annualised_income,monthly_income_per_100k_annualised_premium,annualised_income_per_100k_annualised_premium,annual_income_rate_per_total_premium_pct,projection_years,maturity_age,projection_truncated,projection_end_age,current_illustrated_yield_pct_pa,guaranteed_illustrated_yield_pct_pa,total_distribution_cost_pct,final_net_irr_pct,reference_year,reference_age,reference_surrender_value,reference_policy_value,reference_cumulative_income,reference_total_benefits,total_projected_income,final_surrender_value,final_death_benefit,total_benefits_at_projection,net_illustrated_yield_pct_pa,index_account_assumption_pct_pa,blended_drag_vs_index_assumption_pct,face_amount_estimate,total_premium_charge_estimate,total_policy_fee_estimate,total_admin_fee_estimate,total_fee_estimate,policy_value_booster_estimate,net_fees_after_booster,effect_of_deductions,y1_policy_value,y1_surrender_value,y1_death_benefit,income_start_annual_income,income_start_cumulative_income,income_start_surrender_value,y10_annual_income,y10_cumulative_income,y10_surrender_value,y20_annual_income,y20_cumulative_income,y20_surrender_value,y40_annual_income,y40_cumulative_income,y40_surrender_value,final_policy_year,final_age
AGE0_SP_PY12,0,1,Single Premium,12,12,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",interpolated_sparse,2,46; 56,A46 Single Premium / PY9; A56 Single Premium / PY14,100000,100000,166000000,100000,641.15,7693.8,641.15,7693.8,7.6938,79,125,true,79,4.866,-1.26,10.32,5.032779,40,40,156770.8,156770.8,246569.2,403340,600660.2,157319.4,157319.4,757979.6,4.866,6.35,1.484,100000,8000,63249.99,42587.5,113837.49,35040,78797.49,690589,94902,80000,105000,7693.8,7693.8,136797.4,0,0,124821,7932.4,71115.8,143622,9060.8,246569.2,156770.8,79,79
AGE0_SP_PY13,0,1,Single Premium,13,13,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",interpolated_sparse,2,46; 56,A46 Single Premium / PY9; A56 Single Premium / PY14,100000,100000,166000000,100000,677.116667,8125.4,677.116667,8125.4,8.1254,79,125,true,79,4.898,-1.26,10.32,5.047961,40,40,164465.4,164465.4,251064.2,415529.6,622525.4,165009.2,165009.2,787534.6,4.898,6.35,1.452,100000,8000,63249.99,44467.43,115717.42,35040,80677.42,678884,94902,80000,105000,8125.4,8125.4,149698,0,0,127582,8376.2,66727.2,151300,9505.4,251064.2,164465.4,79,79
AGE0_SP_PY14,0,1,Single Premium,14,14,true,,"Selected age is estimated from source age 56 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 69; the projection stops at attained age 69, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,56,A56 Single Premium / PY14,100000,100000,166000000,100000,713.083333,8557,713.083333,8557,8.557,69,125,true,69,4.93,-1.26,10.32,5.041162,40,40,172160,172160,254669,426829,543691,172699,172699,716390,4.93,6.35,1.42,100000,8000,63249.99,40130.2,111380.19,35040,76340.19,667179,94902,80000,105000,8557,8557,157749,0,0,130343,8820,61450,158978,9950,254669,172160,69,69
AGE0_SP_PY15,0,1,Single Premium,15,15,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46; 56,A46 Single Premium / PY2; A56 Single Premium / PY14,100000,100000,166000000,100000,766.472222,9197.666667,766.472222,9197.666667,9.197667,79,125,true,79,4.963333,-1.26,10.32,5.024426,40,40,177924.5,177924.5,255139.58,433064.08,656981.42,178472.25,178472.25,835453.67,4.963333,6.35,1.386667,100000,8000,63249.99,47803.89,119053.88,35040,84013.88,657449.92,94902,80000,105000,9197.67,9197.67,163687,0,0,134043.58,9152.25,55272.08,164730.08,10282.83,255139.58,177924.5,79,79
AGE0_SP_PY16,0,1,Single Premium,16,16,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46; 56,A46 Single Premium / PY2; A56 Single Premium / PY14,100000,100000,166000000,100000,819.861111,9838.333333,819.861111,9838.333333,9.838333,79,125,true,79,4.996667,-1.26,10.32,4.992169,40,40,183689,183689,254943.5,438632.5,669793.17,184245.5,184245.5,854038.67,4.996667,6.35,1.353333,100000,8000,63249.99,49260.41,120510.4,35040,85470.4,647720.83,94902,80000,105000,9838.33,9838.33,169575.17,0,0,137744.17,9483.33,48428.67,170482.17,10621.83,254943.5,183689,79,79
AGE0_SP_PY17,0,1,Single Premium,17,17,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46; 56,A46 Single Premium / PY2; A56 Single Premium / PY14,100000,100000,166000000,100000,873.25,10479,873.25,10479,10.479,79,125,true,79,5.03,-1.26,10.32,4.957325,40,40,189453.5,189453.5,254071.5,443525,681936,190018.75,190018.75,871954.75,5.03,6.35,1.32,100000,8000,63249.99,50716.93,121966.92,35040,86926.92,637991.75,94902,80000,105000,10479,10479,175610.75,0,0,141444.75,9816.25,40921,176234.25,11225.25,254071.5,189453.5,79,79
AGE0_SP_PY18,0,1,Single Premium,18,18,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46; 56,A46 Single Premium / PY2; A56 Single Premium / PY14,100000,100000,166000000,100000,926.638889,11119.666667,926.638889,11119.666667,11.119667,79,125,true,79,5.063333,-1.26,10.32,4.920398,40,40,195218,195218,252170,447388,693410,195792,195792,889202,5.063333,6.35,1.286667,100000,8000,63249.99,52173.45,123423.44,35040,88383.44,628262.67,94902,80000,105000,11119.67,11119.67,181545.33,0,0,145145.33,10185.33,32747,181986.33,11650,252170,195218,79,79
AGE0_SP_PY19,0,1,Single Premium,19,19,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46; 56,A46 Single Premium / PY2; A56 Single Premium / PY14,100000,100000,166000000,100000,980.027778,11760.333333,980.027778,11760.333333,11.760333,79,125,true,79,5.096667,-1.26,10.32,4.881805,40,40,200982.5,200982.5,249417.75,450400.25,704214.75,201565.25,201565.25,905780,5.096667,6.35,1.253333,100000,8000,63249.99,53629.97,124879.96,35040,89839.96,618533.58,94902,80000,105000,11760.33,11760.33,187597.08,0,0,148845.92,12101,23861.33,187738.42,12075,249417.75,200982.5,79,79
AGE0_SP_PY20,0,1,Single Premium,20,20,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46; 56,A46 Single Premium / PY2; A56 Single Premium / PY14,100000,100000,166000000,100000,1033.416667,12401,1033.416667,12401,12.401,79,125,true,79,5.13,-1.26,10.32,4.841899,40,40,206747,206747,245814.5,452561.5,714350,207338.5,207338.5,921688.5,5.13,6.35,1.22,100000,8000,63249.99,55086.49,126336.48,35040,91296.48,608804.5,94902,80000,105000,12401,12401,193490.5,0,0,152546.5,12401,12401,193490.5,12500,245814.5,206747,79,79
AGE0_SP_PY21,0,1,Single Premium,21,21,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Income start year 21 is beyond the illustrated start years in the parsed source PIs for this premium term; the estimate is held at the clamped extrapolation bound and may understate the deferral benefit.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46; 56,A46 Single Premium / PY2; A56 Single Premium / PY14,100000,100000,166000000,100000,1033.416667,12401,1033.416667,12401,12.401,79,125,true,79,5.13,-1.26,10.32,4.71649,40,40,206747,206747,233314.5,440061.5,702361.5,207338.5,207338.5,909700,5.13,6.35,1.22,100000,8000,63249.99,55086.49,126336.48,35040,91296.48,608804.5,94902,80000,105000,12401,12401,193720.5,0,0,152546.5,0,0,193490.5,12499,233314.5,206747,79,79
AGE0_2PAY_PY2,0,2,2 Years,2,2,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46,A46 2 Years / PY4; A46 2 Years / PY10,100000,50000,83000000,200000,663.888889,7966.666667,663.888889,7966.666667,3.983333,79,125,true,79,4.41,-1.28,10.32,4.442328,40,40,181186,181186,353940.33,535126.33,763197,181950.33,181950.33,945147.33,4.41,6.35,1.94,200000,15500,126499.98,50897.37,192897.35,70080,122817.35,1555167.67,92303,60303,105000,7966.67,7966.67,160000,8217.33,73654,147174,7492.33,153709,155175.67,10470.33,353940.33,181186,79,79
AGE0_2PAY_PY3,0,2,2 Years,3,3,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",extrapolated_sparse,2,46,A46 2 Years / PY4; A46 2 Years / PY10,100000,50000,83000000,200000,717.527778,8610.333333,717.527778,8610.333333,4.305167,79,125,true,79,4.455,-1.28,10.32,4.576001,40,40,192666,192666,370900.5,563566.5,806104.17,193478.67,193478.67,999582.83,4.455,6.35,1.895,200000,15500,126499.98,53886.19,195886.17,70080,125806.17,1534062.83,92303,60303,105000,8610.33,8610.33,165033,8878.67,70721.83,158615,8525,158864.83,166630.83,11134.67,370900.5,192666,79,79
AGE0_2PAY_PY4,0,2,2 Years,4,4,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 2 Years / PY4,100000,50000,83000000,200000,771.166667,9254,771.166667,9254,4.627,79,125,true,79,4.5,-1.28,10.32,4.681404,40,40,204146,204146,386531,590677,847679,205007,205007,1052686,4.5,6.35,1.85,200000,15500,126499.98,56875,198874.98,70080,128794.98,1512958,92303,60303,105000,9254,9254,162409,9540,66465,170056,9556,161955,178086,11799,386531,204146,79,79
AGE0_2PAY_PY5,0,2,2 Years,5,5,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 2 Years / PY5,100000,50000,83000000,200000,817.333333,9808,817.333333,9808,4.904,79,125,true,79,4.56,-1.28,10.32,4.726371,40,40,214028,214028,397504,611532,880974,214929,214929,1095903,4.56,6.35,1.79,200000,15500,126499.98,59542.18,201542.16,70080,131462.16,1492801,92303,60303,105000,9808,9808,169359,10110,60333,179906,10126,161519,187945,12370,397504,214028,79,79
AGE0_2PAY_PY6,0,2,2 Years,6,6,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 2 Years / PY6,100000,50000,83000000,200000,866.25,10395,866.25,10395,5.1975,79,125,true,79,4.61,-1.28,10.32,4.768622,40,40,224499,224499,408526,633025,915651,225445,225445,1141096,4.61,6.35,1.74,200000,15500,126499.98,62331.14,204331.12,70080,134251.12,1472252,92303,60303,105000,10395,10395,176900,10713,53227,190343,10730,160449,198395,12975,408526,224499,79,79
AGE0_2PAY_PY7,0,2,2 Years,7,7,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 2 Years / PY7,100000,50000,83000000,200000,918.166667,11018,918.166667,11018,5.509,79,125,true,79,4.65,-1.28,10.32,4.808426,40,40,235597,235597,419569,655166,951761,236588,236588,1188349,4.65,6.35,1.7,200000,15500,126499.98,65246.96,207246.94,70080,137166.94,1451319,92303,60303,105000,11018,11018,185066,11352,45059,201405,11370,158678,209468,13617,419569,235597,79,79
AGE0_2PAY_PY8,0,2,2 Years,8,8,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 2 Years / PY8,100000,50000,83000000,200000,973.083333,11677,973.083333,11677,5.8385,79,125,true,79,4.69,-1.28,10.32,4.845938,40,40,247357,247357,430594,677951,989352,248399,248399,1237751,4.69,6.35,1.66,200000,15500,126499.98,68294.8,210294.78,70080,140214.78,1430013,92303,60303,105000,11677,11677,201895,12030,35725,213127,12048,156122,221203,14296,430594,247357,79,79
AGE0_2PAY_PY9,0,2,2 Years,9,9,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 2 Years / PY9,100000,50000,83000000,200000,1031.333333,12376,1031.333333,12376,6.188,79,125,true,79,4.73,-1.28,10.32,4.881288,40,40,259820,259820,441555,701375,1028465,260915,260915,1289380,4.73,6.35,1.62,200000,15500,126499.98,71480.04,213480.02,70080,143400.02,1408344,92303,60303,105000,12376,12376,219427,12737,25113,225549,12767,152693,233639,15017,441555,259820,79,79
AGE0_2PAY_PY10,0,2,2 Years,10,10,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 2 Years / PY10,100000,50000,83000000,200000,1093,13116,1093,13116,6.558,79,125,true,79,4.77,-1.28,10.32,4.914651,40,40,273026,273026,452407,725433,1069149,274177,274177,1343326,4.77,6.35,1.58,200000,15500,126499.98,74807.9,216807.88,70080,146727.88,1386329,92303,60303,105000,13116,13116,238702,13116,13116,238702,13528,148296,246817,15780,452407,273026,79,79
